TT,Số  hiệu,Tên biển  chỉ dẫn
1,"Biển số IE.450(a,b)","Sơ đồ, khoảng cách đến nút giao với  đường dẫn vào  đường cao tốc"
2,"Biển số IE.451 (a,b)",Lối vào và khoảng cách đến lối  vào đường  cao tốc
3,Biển số IE.452,Bắt đầu đường cao tốc
4,"Biển số IE.453(a,b)",Kết thúc đường cao tốc
5,Biển số IE.454,Khoảng cách đến lối ra  phía trước
6,"Biển số IE.455(a,b)",Khoảng cách đến các lối  ra tiếp theo
7,"Biển số IE.456(a,b,c)",Trạm dừng nghỉ và khoảng cách đến  trạm dừng nghỉ
8,"Biển số IE.457(a,b)",Nơi đỗ xe trong trạm dừng nghỉ
9,Biển số IE.458,Khoảng cách đến các trạm  dừng nghỉ tiếp theo
10,"Biển số IE.459(a,b)","Khoảng cách đến khu tham  quan, du lịch"
11,Biển số IE.460,Cột lý trình kilômét
12,"Biển số IE.461(a,b,c,d)","Khu dịch vụ công cộng,  giải trí"
13,Biển số IE.462,Tần số trên sóng radio
14,"Biển số IE.463(a,b,c)",Công trình kiểm soát tải trọng xe
15,"Biển số IE.464(a,b)",Địa điểm và phương hướng
16,"Biển số IE.465(a,b)",Địa điểm và khoảng cách
17,Biển số IE.466,Sơ đồ lối ra một chiều
18,"Biển số IE.467(a,b)",Nhập làn
19,"Biển số IE.468(a,b)",Chướng ngại vật phía trước
20,Biển số IE.469,Hướng rẽ
21,Biển số IE.470,Số điện thoại khẩn cấp
22,Biển số IE.471,Giữ khoảng cách lái xe an toàn
23,"Biển số IE.472(a,b)",Trạm thu phí
24,Biển số IE.473,Giảm tốc độ
25,Biển số IE.474,Lối ra
