Chữ in hoa,Chữ in hoa.1,Chữ in hoa.2,Chữ in hoa.3,Unnamed: 4,Chữ thường,Chữ thường.1,Chữ thường.2,Chữ thường.3
,Lề trái,Giữa,Lề phải,,,Lề trái,Giữa,Lề phải
A,027,8586,144,,a,480,5601,673
Ă,027,8586,144,,ă,480,5601,673
Â,027,8586,144,,â,480,5601,673
B,1002,7049,522,,b,879,5724,686
C,673,7138,000,,c,336,5827,075
D,1002,7131,721,,d,879,5724,686
Đ,206,7920,728,,đ,879,6397,014
E,1002,6452,357,,e,501,5896,597
Ê,1002,6452,357,,ê,501,5896,597
F,1002,6452,089,,f,247,3795,000
G,673,7179,721,,g,631,5717,940
H,1002,7049,10.57,,h,879,5724,940
I,981,1654,988,,i,899,1558,913
J,034,5868,858,,j,000,2732,892
K,1009,7845,000,,k,885,6287,117
L,1002,6452,357,,l,865,2560,199
M,1009,8566,1078,,m,988,9883,1098
N,1002,7550,1057,,n,879,5724,940
O,673,7179,721,,o,535,5896,597
Ô,673,7179,721,,ô,535,5896,597
Ơ,673,7845,055,,ơ,535,6815,000
P,1002,7008,323,,p,879,5724,686
Q,398,8133,041,,q,631,5717,940
R,1002,7378,192,,r,611,4852,000
S,137,7378,549,,s,069,6143,535
T,000,7042,000,,t,240,3281,384
U,824,7159,872,,u,879,5724,940
Ư,480,8792,000,,ư,604,7433,000
V,000,7831,000,,v,000,6431,000
W,117,11386,185,,w,014,10027,103
X,000,7872,000,,x,089,6513,144
Y,000,7509,000,,y,000,6458,000
Z,398,6458,432,,z,419,5353,467
