Mã đường  cao tốc,Tên đường  cao tốc,Ghi chú
,Đường  cao tốc Bắc - Nam phía Đông Hà Nội - Cần Thơ,Điểm đầu: tại nút giao Pháp Vân Điểm cuối: TP. Cần Thơ Tuyến đi qua các vị trí: Pháp Vân - Cầu  Giẽ - Ninh Bình  - Nghi Sơn (Thanh Hoá) - Vũng Áng (Hà Tĩnh) - Bùng (Quảng Bình) - Cam Lộ  (Quảng Trị) - La Sơn (Thừa Thiên Huế) - Tuý Loan (Đà Nẵng)  - Quảng Ngãi  - An Nhơn (Bình Định) - Nha Trang - Phan Thiết (Bình Thuận)  - Dầu Giây  (Đồng Nai) - Long Thành (Đồng Nai) -  Bến Lức (Long An) - Trung Lương (Tiền Giang) - Mỹ Thuận (Vĩnh Long) - Cần Thơ
,Đường  cao tốc Bắc - Nam phía Tây - Đoạn Đoan Hùng - Khe Cò - Đoạn  Ngọc Hội - Rạch Giá,* Đoạn Đoan Hùng - Khe Cò Điểm đầu: Đoan Hùng (Phú Thọ) Điểm cuối: Khe Cò (Hà Tĩnh) Tuyến đi qua các vị trí: Đoan Hùng (Phú Thọ)  - Chợ Bến (Hoà  Bình) - Thạch Quảng (Thanh Hóa) - Tân Kỳ (Nghệ An)  - Khe Cò  (Hà Tĩnh) * Đoạn Ngọc Hội - Rạch Giá Ngọc Hồi (Kon Tum) - Gia Lai - Đắk Lắk - Đắk Nông - Bình Phước  - Chơn Thành  (Đồng Nai) - Đức Hoà (Long An) - Mỹ  An (Đồng Tháp)  - Rạch Sỏi (Kiên Giang)
,Đường  cao tốc Lạng Sơn - Bắc Giang - Bắc Ninh - Hà Nội,Điểm đầu: Cửa khẩu hữu nghị (Lạng Sơn) Điểm cuối: Nam cầu Phù Đổng (Hà Nội)
,Đường  cao tốc Hà  Nội - Hải Phòng,Điểm đầu: Hà Nội Điểm cuối: Hải Phòng
,Đường  cao tốc Hà  Nội - Việt Trì - Lào Cai,Điểm đầu: Hà Nội Điểm cuối: Lào Cai
,Đường  cao tốc Nội Bài  - Hạ Long - Móng Cái,Điểm đầu: Nội Bài Điểm cuối: Móng Cái
,Đường  cao tốc Hà  Nội - Thái  Nguyên - Chợ Mới,Điểm đầu: Hà Nội Điểm cuối: Chợ Mới (Bắc Kạn)
,Đường  cao tốc Láng  - Hoà Lạc - Hoà Bình,Điểm đầu: Láng (Hà Nội) Điểm cuối: Hoà Bình
,Đường  cao tốc Ninh Bình  - Hải Phòng - Quảng Ninh,Điểm đầu: Ninh Bình Điểm cuối: Quảng Ninh
,Đường  cao tốc Hồng Lĩnh - Hương Sơn,Điểm đầu: Hồng Lĩnh (Hà Tĩnh) Điểm cuối: Hương Sơn(Hà Tĩnh)
,Đường  cao tốc Cam Lộ - Lao Bảo,Điểm đầu: Cam Lộ (Quảng Trị) Điểm cuối: Lao Bảo (Quảng Trị)
,Đường  cao tốc Quy Nhơn - Pleiku,Điểm đầu: Quy Nhơn (Bình Định) Điểm cuối: Pleiku (Gia Lai)
,Đường  cao tốc Biên  Hoà - Vũng Tàu,Điểm đầu: Biên Hoà (Đồng Nai) Điểm cuối: Vũng Tàu
,Đường  cao tốc Dầu Giây  - Đà Lạt,Điểm đầu: Dầu Giây (Đồng Nai) Điểm cuối: Đà Lạt (Lâm Đồng)
,Đường  cao tốc TP. Hồ Chí Minh - Thủ Dầu Một - Chơn Thành,Điểm đầu: TP. Hồ Chí Minh Điểm cuối: Nhơn Thành (Bình Phước)
,Đường  cao tốc TP. Hồ Chí Minh - Mộc Bài,Điểm đầu: TP. Hồ Chí Minh Điểm cuối: Mộc Bài (Tây Ninh)
,Đường  cao tốc Châu  Đốc - Cần Thơ - Sóc Trăng,Điểm đầu: Châu Đốc (An  Giang) Điểm cuối: Sóc Trăng
,Đường  cao tốc Hà  Tiên - Rạch Giá - Bạc Liêu,Điểm đầu: Hà Tiên (Kiên Giang) Điểm cuối: Bạc Liêu
,Đường  cao tốc Cần Thơ - Cà Mau,Điểm đầu: Cần Thơ Điểm cuối: Cà Mau
,Đường  cao tốc vành  đai 3 TP. Hà Nội,Trên địa phận thành phố Hà Nội
,Đường  cao tốc vành  đai 4 TP. Hà Nội,Trên địa phận thành phố Hà Nội
,Đường  cao tốc vành  đai 3 TP. Hồ Chí Minh,Trên địa phận thành phố  Hồ Chí  Minh
